"","scenario","quantile","coupling_strength","Tpeak","count","any_tippings_prob","number_of_tippings_mean","number_of_tippings_sd","number_of_tippings_se","GIS_tip_prob","THC_tip_prob","WAIS_tip_prob","AMAZ_tip_prob","Tconv"
"70","CurPol-OS-1.5C",0.7,0.3,3.65,1000,0.859,1.99,1.19889004388949,0.0379122320279001,0.416,0.537,0.709,0.328,1.78628
"71","CurPol-OS-1.5C",0.7,0.4,3.65,1000,0.877,2.113,1.17115438888415,0.0370351536057649,0.392,0.607,0.745,0.369,1.78628
"72","CurPol-OS-1.5C",0.7,0.5,3.65,1000,0.88,2.182,1.15160852819098,0.0364170592195773,0.364,0.645,0.773,0.4,1.78628
"73","CurPol-OS-1.5C",0.7,0.6,3.65,1000,0.892,2.231,1.09308455017617,0.034566368536973,0.336,0.685,0.797,0.413,1.78628
"74","CurPol-OS-1.5C",0.7,0.7,3.65,1000,0.903,2.255,1.04741208321848,0.0331220783175222,0.3,0.72,0.811,0.424,1.78628
"75","CurPol-OS-1.5C",0.7,0.8,3.65,1000,0.911,2.253,1.01687021051117,0.0321562594999018,0.296,0.718,0.815,0.424,1.78628
"76","CurPol-OS-1.5C",0.7,0.9,3.65,1000,0.924,2.259,0.984321028876193,0.0311269640004914,0.294,0.711,0.822,0.432,1.78628
"77","CurPol-OS-1.5C",0.7,1,3.65,1000,0.931,2.253,0.953887257961286,0.0301645636617025,0.296,0.699,0.824,0.434,1.78628
"78","CurPol-OS-1.5C",0.8,0,3.88,1000,0.896,1.672,0.937707467867935,0.0296529137741183,0.537,0.283,0.505,0.347,1.97754
"79","CurPol-OS-1.5C",0.8,0.1,3.88,1000,0.903,1.878,1.00005805637279,0.0316246125053907,0.512,0.318,0.701,0.347,1.97754
"80","CurPol-OS-1.5C",0.8,0.2,3.88,1000,0.912,2.202,1.12359176681678,0.0355310914335383,0.52,0.535,0.785,0.362,1.97754
"81","CurPol-OS-1.5C",0.8,0.3,3.88,1000,0.927,2.36,1.11249163486187,0.0351800744404789,0.504,0.635,0.821,0.4,1.97754
"82","CurPol-OS-1.5C",0.8,0.4,3.88,1000,0.931,2.443,1.0667187487285,0.0337326086878689,0.449,0.703,0.85,0.441,1.97754
"83","CurPol-OS-1.5C",0.8,0.5,3.88,1000,0.935,2.453,1.02510577105089,0.0324166907910391,0.401,0.728,0.862,0.462,1.97754
"84","CurPol-OS-1.5C",0.8,0.6,3.88,1000,0.942,2.477,0.985109862625201,0.0311519091139121,0.366,0.764,0.873,0.474,1.97754
"85","CurPol-OS-1.5C",0.8,0.7,3.88,1000,0.952,2.485,0.927704498014123,0.0293365920930778,0.329,0.789,0.884,0.483,1.97754
"86","CurPol-OS-1.5C",0.8,0.8,3.88,1000,0.958,2.457,0.887095224842259,0.0280524141196072,0.308,0.777,0.893,0.479,1.97754
"87","CurPol-OS-1.5C",0.8,0.9,3.88,1000,0.966,2.464,0.86339414490107,0.0273029201634083,0.312,0.773,0.899,0.48,1.97754
"88","CurPol-OS-1.5C",0.8,1,3.88,1000,0.968,2.445,0.844800975785829,0.0267149525301597,0.316,0.757,0.897,0.475,1.97754
"89","CurPol-OS-1.5C",0.9,0,4.24,1000,0.956,2.074,0.928108498714124,0.0293493677169609,0.666,0.334,0.645,0.429,2.26618
"90","CurPol-OS-1.5C",0.9,0.1,4.24,1000,0.964,2.329,0.932538808108611,0.0294894664012191,0.634,0.394,0.861,0.44,2.26618
"91","CurPol-OS-1.5C",0.9,0.2,4.24,1000,0.966,2.634,0.982348720673575,0.0310645941388103,0.638,0.636,0.904,0.456,2.26618
"92","CurPol-OS-1.5C",0.9,0.3,4.24,1000,0.968,2.739,0.956971679202052,0.0302621016255447,0.582,0.736,0.924,0.497,2.26618
"93","CurPol-OS-1.5C",0.9,0.4,4.24,1000,0.977,2.772,0.896001573000192,0.0283340575777424,0.509,0.789,0.947,0.527,2.26618
"94","CurPol-OS-1.5C",0.9,0.5,4.24,1000,0.982,2.759,0.847134367521845,0.026788740855752,0.441,0.819,0.954,0.545,2.26618
"95","CurPol-OS-1.5C",0.9,0.6,4.24,1000,0.987,2.742,0.795027086373834,0.0251409639446873,0.394,0.842,0.961,0.545,2.26618
"96","CurPol-OS-1.5C",0.9,0.7,4.24,1000,0.99,2.723,0.760821825298046,0.0240592986150854,0.364,0.848,0.959,0.552,2.26618
"97","CurPol-OS-1.5C",0.9,0.8,4.24,1000,0.991,2.683,0.732835621437746,0.023174297142482,0.332,0.843,0.962,0.546,2.26618
"98","CurPol-OS-1.5C",0.9,0.9,4.24,1000,0.993,2.637,0.725090861035192,0.0229293863144384,0.331,0.815,0.955,0.536,2.26618
"99","CurPol-OS-1.5C",0.9,1,4.24,1000,0.994,2.618,0.724293173100921,0.0229041612070951,0.325,0.81,0.951,0.532,2.26618
"100","GS-NZGHG",0.1,0,1.32,1000,0.001,0.001,0.0316227766016838,0.001,0,0,0.001,0,0
"101","GS-NZGHG",0.1,0.1,1.32,1000,0.002,0.002,0.0446989708829856,0.00141350557055782,0,0,0.002,0,0
"102","GS-NZGHG",0.1,0.2,1.32,1000,0.002,0.002,0.0446989708829856,0.00141350557055782,0,0,0.002,0,0
"103","GS-NZGHG",0.1,0.3,1.32,1000,0.002,0.002,0.0446989708829856,0.00141350557055782,0,0,0.002,0,0
"104","GS-NZGHG",0.1,0.4,1.32,1000,0.002,0.002,0.0446989708829856,0.00141350557055782,0,0,0.002,0,0
"105","GS-NZGHG",0.1,0.5,1.32,1000,0.002,0.002,0.0446989708829856,0.00141350557055782,0,0,0.002,0,0
"106","GS-NZGHG",0.1,0.6,1.32,1000,0.002,0.002,0.0446989708829856,0.00141350557055782,0,0,0.002,0,0
"107","GS-NZGHG",0.1,0.7,1.32,1000,0.003,0.003,0.054717401199198,0.00173031615434694,0,0,0.003,0,0
"108","GS-NZGHG",0.1,0.8,1.32,1000,0.004,0.004,0.0631505185092568,0.00199699473909873,0,0,0.004,0,0
"109","GS-NZGHG",0.1,0.9,1.32,1000,0.005,0.005,0.0705689732104696,0.00223158687484489,0,0,0.005,0,0
"110","GS-NZGHG",0.1,1,1.32,1000,0.005,0.009,0.137615180623135,0.00435177411384575,0.002,0.001,0.005,0.001,0
"111","GS-NZGHG",0.2,0,1.43,1000,0.004,0.004,0.0631505185092568,0.00199699473909873,0.001,0,0.003,0,0
"112","GS-NZGHG",0.2,0.1,1.43,1000,0.004,0.004,0.0631505185092568,0.00199699473909873,0.001,0,0.003,0,0
"113","GS-NZGHG",0.2,0.2,1.43,1000,0.004,0.004,0.0631505185092568,0.00199699473909873,0.001,0,0.003,0,0
"114","GS-NZGHG",0.2,0.3,1.43,1000,0.003,0.003,0.054717401199198,0.00173031615434694,0,0,0.003,0,0
"115","GS-NZGHG",0.2,0.4,1.43,1000,0.004,0.004,0.0631505185092568,0.00199699473909873,0,0,0.004,0,0
"116","GS-NZGHG",0.2,0.5,1.43,1000,0.004,0.004,0.0631505185092568,0.00199699473909873,0,0,0.004,0,0
"117","GS-NZGHG",0.2,0.6,1.43,1000,0.005,0.005,0.0705689732104696,0.00223158687484489,0,0,0.005,0,0
"118","GS-NZGHG",0.2,0.7,1.43,1000,0.006,0.008,0.109306669274788,0.00345658038355076,0,0.002,0.005,0.001,0
"119","GS-NZGHG",0.2,0.8,1.43,1000,0.006,0.008,0.109306669274788,0.00345658038355076,0,0.002,0.005,0.001,0
"120","GS-NZGHG",0.2,0.9,1.43,1000,0.006,0.011,0.151333743434509,0.00478559316092602,0.002,0.002,0.005,0.002,0
"121","GS-NZGHG",0.2,1,1.43,1000,0.008,0.015,0.17551582779284,0.00555029781235258,0.003,0.003,0.007,0.002,0
"122","GS-NZGHG",0.3,0,1.52,1000,0.014,0.014,0.117549214450024,0.00371723254825654,0.005,0.005,0.004,0,0
"123","GS-NZGHG",0.3,0.1,1.52,1000,0.014,0.014,0.117549214450024,0.00371723254825654,0.004,0.006,0.004,0,0
"124","GS-NZGHG",0.3,0.2,1.52,1000,0.015,0.016,0.133273259740136,0.0042144705197405,0.004,0.006,0.006,0,0
"125","GS-NZGHG",0.3,0.3,1.52,1000,0.016,0.02,0.172132593164774,0.00544331053951817,0.003,0.01,0.006,0.001,0
"126","GS-NZGHG",0.3,0.4,1.52,1000,0.017,0.021,0.174898798136493,0.0055307856213733,0.002,0.011,0.006,0.002,0
"127","GS-NZGHG",0.3,0.5,1.52,1000,0.016,0.022,0.188551190798551,0.00596251218460403,0.002,0.01,0.006,0.004,0
"128","GS-NZGHG",0.3,0.6,1.52,1000,0.019,0.028,0.217401157456126,0.00687482823518255,0.002,0.013,0.007,0.006,0
"129","GS-NZGHG",0.3,0.7,1.52,1000,0.019,0.027,0.205702001237988,0.00650486843166819,0.002,0.012,0.008,0.005,0
"130","GS-NZGHG",0.3,0.8,1.52,1000,0.023,0.032,0.221415954766193,0.00700178727361986,0.002,0.015,0.009,0.006,0
"131","GS-NZGHG",0.3,0.9,1.52,1000,0.026,0.04,0.265462747801778,0.00839466916980476,0.003,0.018,0.011,0.008,0
"132","GS-NZGHG",0.3,1,1.52,1000,0.027,0.044,0.286611489906016,0.00906345111677368,0.005,0.018,0.013,0.008,0
"133","GS-NZGHG",0.4,0,1.61,1000,0.028,0.028,0.16505527329729,0.00521950603441008,0.01,0.013,0.005,0,0
"134","GS-NZGHG",0.4,0.1,1.61,1000,0.032,0.032,0.176088066055048,0.00556839357508133,0.01,0.016,0.006,0,0
"135","GS-NZGHG",0.4,0.2,1.61,1000,0.032,0.039,0.235657663856991,0.00745214965862432,0.009,0.021,0.009,0,0
"136","GS-NZGHG",0.4,0.3,1.61,1000,0.034,0.04,0.233354782368938,0.00737932615178747,0.007,0.023,0.009,0.001,0
"137","GS-NZGHG",0.4,0.4,1.61,1000,0.036,0.049,0.280495414717741,0.00887004383741578,0.005,0.026,0.012,0.006,0
"138","GS-NZGHG",0.4,0.5,1.61,1000,0.038,0.052,0.288754877672013,0.00913123098926861,0.005,0.028,0.012,0.007,0
"139","GS-NZGHG",0.4,0.6,1.61,1000,0.04,0.057,0.303055841129721,0.00958346716188055,0.005,0.028,0.015,0.009,0
"140","GS-NZGHG",0.4,0.7,1.61,1000,0.042,0.06,0.307399568142986,0.00972082787083973,0.003,0.028,0.017,0.012,0
"141","GS-NZGHG",0.4,0.8,1.61,1000,0.046,0.074,0.364220615364722,0.0115176671534064,0.005,0.032,0.02,0.017,0
"142","GS-NZGHG",0.4,0.9,1.61,1000,0.051,0.081,0.374939434548541,0.0118566259778902,0.005,0.034,0.024,0.018,0
"143","GS-NZGHG",0.4,1,1.61,1000,0.056,0.092,0.407064738956473,0.0128725173024433,0.009,0.035,0.029,0.019,0
"144","GS-NZGHG",0.5,0,1.7,1000,0.047,0.047,0.211744742168102,0.00669595667816301,0.012,0.025,0.01,0,0
"145","GS-NZGHG",0.5,0.1,1.7,1000,0.051,0.052,0.226599530774773,0.00716570633973702,0.012,0.027,0.013,0,0
"146","GS-NZGHG",0.5,0.2,1.7,1000,0.055,0.062,0.276101851193056,0.00873110715958934,0.012,0.034,0.016,0,0
"147","GS-NZGHG",0.5,0.3,1.7,1000,0.063,0.073,0.302923691319716,0.00957928821796081,0.011,0.04,0.02,0.002,0
"148","GS-NZGHG",0.5,0.4,1.7,1000,0.066,0.086,0.353169546717619,0.0111682016783692,0.009,0.042,0.026,0.009,0
"149","GS-NZGHG",0.5,0.5,1.7,1000,0.066,0.089,0.370427072736613,0.0117139325683656,0.009,0.042,0.026,0.012,0
"150","GS-NZGHG",0.5,0.6,1.7,1000,0.071,0.1,0.392624698859043,0.0124158831403229,0.009,0.046,0.031,0.014,0
"151","GS-NZGHG",0.5,0.7,1.7,1000,0.072,0.109,0.42579372975691,0.0134647799945005,0.01,0.048,0.033,0.018,0
"152","GS-NZGHG",0.5,0.8,1.7,1000,0.08,0.121,0.445597977506135,0.0140910452968386,0.007,0.053,0.039,0.022,0
"153","GS-NZGHG",0.5,0.9,1.7,1000,0.088,0.141,0.497359393564017,0.0157278849934238,0.01,0.058,0.046,0.027,0
"154","GS-NZGHG",0.5,1,1.7,1000,0.093,0.153,0.523320996009968,0.0165488629477939,0.015,0.059,0.05,0.029,0
"155","GS-NZGHG",0.6,0,1.8,1000,0.084,0.084,0.277526613176144,0.00877616208949111,0.026,0.037,0.021,0,0
"156","GS-NZGHG",0.6,0.1,1.8,1000,0.086,0.088,0.290414084266484,0.00918369970874159,0.026,0.039,0.023,0,0
"157","GS-NZGHG",0.6,0.2,1.8,1000,0.094,0.105,0.346547392278596,0.0109587907679221,0.026,0.049,0.029,0.001,0
"158","GS-NZGHG",0.6,0.3,1.8,1000,0.094,0.118,0.40526564157382,0.012815624847827,0.021,0.055,0.037,0.005,0
"159","GS-NZGHG",0.6,0.4,1.8,1000,0.099,0.131,0.438213453731205,0.0138575261511942,0.017,0.061,0.043,0.01,0
"160","GS-NZGHG",0.6,0.5,1.8,1000,0.105,0.148,0.477832946043201,0.0151104045056486,0.015,0.07,0.048,0.015,0
"161","GS-NZGHG",0.6,0.6,1.8,1000,0.12,0.176,0.524689717165583,0.0165921457111279,0.014,0.081,0.057,0.024,0
"162","GS-NZGHG",0.6,0.7,1.8,1000,0.125,0.191,0.555722797649897,0.0175734978825454,0.017,0.081,0.064,0.029,0
"163","GS-NZGHG",0.6,0.8,1.8,1000,0.132,0.209,0.586227483714865,0.0185381407552824,0.017,0.089,0.068,0.035,0
"164","GS-NZGHG",0.6,0.9,1.8,1000,0.137,0.223,0.609625001654823,0.0192780352381316,0.022,0.087,0.078,0.036,0
"165","GS-NZGHG",0.6,1,1.8,1000,0.146,0.248,0.662521648653789,0.020950774089158,0.028,0.094,0.085,0.041,0
